firms,mom1,clusters
54594,-0.1020408163265306,0
11624,-0.0927835051546391,11
11790,-0.0255172413793103,0
12320,-0.3221238938053098,19
13056,0.1645070422535213,0
50091,-0.0358835477318888,0
14286,-0.1989189189189188,6
14526,0.0145454545454544,18
11581,-0.0911161731207289,18
15748,0.0188679245283021,7
16126,-0.0816831683168316,15
17137,-0.104390243902439,0
85885,0.0977859778597787,11
85914,-0.378614660390047,2
18092,0.0,0
18244,-0.0431965442764579,0
84839,0.0806451612903225,0
67176,0.0195903829029384,18
20670,-0.0162601626016261,6
64899,-0.5195344970906068,16
22905,-0.0814696485623003,18
47175,0.0626159554730985,2
23660,0.0084991307707165,0
23975,-0.047987616099071,0
82542,0.0361111111111109,11
30680,0.0243249274715464,0
56274,0.0044897959183674,15
27642,-0.1333333333333333,25
28215,0.0904191616766467,11
87207,-0.1166077738515901,27
55589,0.0163934426229508,11
30593,-0.0375518672199169,12
31318,-0.0756302521008404,18
31668,-0.1013513513513513,18
54391,-0.030058651026393,0
32046,-0.0527097253155159,6
32054,-0.1230871590153027,13
47511,0.0852713178294573,0
33188,-0.0828402366863904,0
48143,-0.0109289617486338,4
23552,-0.2597402597402597,7
60628,0.0441261854073931,15
57330,-0.0942193900773782,18
37875,-0.0726454516232721,15
20765,-0.0700636942675159,15
17144,0.032917139614075,14
39328,0.1538461538461539,11
26657,-0.0995316159250585,18
40540,-0.074074074074074,0
22250,-0.1043165467625898,7
41452,-0.0449529326574946,0
62287,-0.0901287553648069,7
44821,-0.0413847990449661,12
53129,-0.0134078212290503,15
84226,-0.0504651162790698,0
89181,-0.2704545454545455,27
46843,-0.1020408163265306,11
46907,0.4049586776859504,11
64020,-0.0014285714285714,7
51423,-0.161849710982659,0
67002,0.0512820512820513,7
52090,0.0241809672386896,15
53613,-0.0050632911392405,13
54114,-0.0397052803929594,15
55160,0.0315789473684211,0
55213,-0.0740445859872611,0
64442,0.1594202898550725,25
56363,0.0031084861672365,15
52337,0.0154013902139837,17
51377,-0.0260152284263959,13
57665,0.0078754922182637,0
67010,-0.0526881720430107,7
34948,-0.0441739130434782,7
35107,-0.0198347107438017,6
61621,-0.0717921242968122,0
51692,-0.1557411273486429,17
43692,0.1851851851851851,1
65307,-0.071386430678466,0
66852,-0.0536170212765958,15
46922,0.0630914826498423,7
67193,-0.1757264957264958,0
67732,-0.0579710144927536,19
77354,-0.0618963138182533,0
69199,-0.023152709359606,0
38850,-0.0388888888888888,0
72128,0.0176730486008835,6
72486,-0.0753564154786151,12
72710,-0.0979847116052814,15
27764,-0.1022727272727272,0
44951,0.006,1
74500,0.0466666666666666,6
74740,-0.1165048543689321,11
65752,0.1038186157517899,0
40061,-0.0781818181818181,0
40694,-0.0275915420319752,0
76129,-0.0363951473136915,6
65306,-0.0832106038291605,18
79039,-0.1587614104170395,7
92874,-0.0134666666666666,0
81294,0.0343818580833943,15
19502,0.0129732592004234,3
81614,-0.0689655172413792,1
51086,-0.0492505353319058,17
83601,0.0304054054054052,15
68304,-0.0305134000645785,9
10012,-0.0924092409240923,6
88867,0.3469529085872576,18
65067,0.2390243902439026,14
10035,0.1641791044776119,19
10044,-0.158313361294188,18
69032,-0.0473595976529757,0
10104,-0.2111553784860557,3
10160,-0.2134831460674158,19
79327,-0.3846153846153846,24
75510,-0.0965965965965965,2
10972,0.2222222222222223,19
11353,0.0048875855327468,15
75033,0.0334672021419009,13
75174,0.1095890410958904,0
75110,0.0075757575757575,7
10114,-0.0223880597014926,18
11794,0.4756756756756757,18
12211,-0.0518367346938775,0
12171,-0.3231939163498099,12
75434,-0.1827326068734283,0
80297,0.0182318541451669,15
75976,0.0352750371671848,12
75857,0.1068493150684932,13
75993,0.2182539682539681,7
77488,-0.0289156626506024,11
84664,0.1076923076923075,23
76138,0.0,0
76279,0.0052631578947368,0
76568,-0.0286591606960081,0
76990,-0.0881458966565349,6
84411,0.5157894736842106,14
76605,0.0769736842105262,17
76623,0.0057275992622074,0
76752,-0.1679525222551929,0
76797,-0.1986863711001641,6
77163,0.0655172413793103,13
77478,0.0702179176755448,12
79580,-0.2216896345116836,12
77637,0.1259259259259257,19
77667,-0.031822971548999,0
77669,-0.2328564380858411,18
77803,-0.530128526122517,18
79094,0.124938755512004,0
79255,-0.0056526207605344,0
79505,-0.4980964467005075,13
87055,-0.0231343283582089,2
79866,0.0195881466599698,0
79950,-0.1451375761394664,25
80032,0.0956436292171634,2
80393,-0.021897810218978,11
80465,-0.267515923566879,24
80599,0.0338983050847456,15
80553,0.0346889952153111,13
80659,-0.0721556616521034,7
80763,0.0864197530864199,0
81078,0.0790697674418603,11
81181,0.0714285714285714,19
81300,-0.0081841432225063,17
81655,-0.3701754385964912,2
82533,0.0225925925925924,1
82535,-0.3058470764617691,0
82522,0.5535714285714286,27
82738,-0.1968295904887714,12
82777,-0.1247058823529411,0
83597,-0.0640252655756531,0
83957,-0.0093023255813953,11
84240,-0.1552631578947367,11
84300,0.625,23
20598,-0.1025,11
84416,-0.0894160583941606,2
84649,-0.0404624277456647,7
84746,0.1818181818181816,7
84785,0.1142857142857143,7
85272,0.1900380076015204,6
85394,0.0398437499999999,11
85431,-0.040983606557377,0
85796,-0.0479041916167664,0
85972,-0.1051344743276283,11
50906,-0.1388174807197943,13
10568,-0.0021109192093647,11
11157,0.0576923076923077,0
50032,0.0485986881335718,0
47730,-0.5287206266318537,0
13777,0.0606060606060605,6
38746,-0.0124999999999999,11
60871,-0.0091991341991343,0
14198,-0.1323706377858002,0
45583,0.1282894736842104,7
14702,-0.0879934210526316,3
15537,0.0749999999999999,0
68830,0.082109479305741,6
85631,-0.265905383360522,13
49373,0.1191425722831505,2
18570,0.0069078947368421,0
18973,-0.0136986301369863,0
19271,0.1653846153846154,0
29938,0.0104591836734693,16
10866,0.1793611793611793,0
20248,-0.0557894736842105,15
25320,0.0231800072437522,15
21726,-0.0344827586206896,15
21742,-0.086021505376344,15
11267,0.055078125,0
86474,-0.1111111111111111,6
22825,-0.2596614184887222,17
65533,-0.0909090909090908,0
80416,-0.0210526315789473,18
24572,-0.0118811881188117,0
24951,-0.1166666666666667,0
26201,-0.0863509749303621,6
82165,0.996007984031936,23
27562,0.0955518945634266,18
27677,0.3286713286713285,0
27909,0.4124168514412418,18
63546,-0.2123287671232876,27
49154,-0.0504009163802977,0
19350,0.0500446827524576,15
76769,-0.1657458563535913,0
49429,0.2262147815434871,7
61313,-0.0841251448435688,0
80971,0.0035335689045936,18
12008,-0.1275611368142764,0
31500,-0.0432521215439364,2
87581,-0.0234817813765181,17
33209,0.011049723756906,4
50788,-0.1075268817204301,0
33690,-0.0405715743812197,24
34121,-0.1923664122137404,0
34287,-0.0873732204336094,27
77462,0.0422854266297507,0
46295,-0.0262417994376756,7
37058,-0.1367924528301886,0
47036,-0.0595744680851063,18
62228,-0.1176470588235294,0
21055,-0.1518850987432675,12
47888,-0.1111111111111111,6
83233,-0.0447635135135136,14
40468,-0.1091445427728613,11
39765,-0.0625,0
85987,0.0214814814814814,1
32678,-0.1572700296735906,15
23077,-0.0323886639676113,15
41663,-0.0366541353383459,0
27828,0.1163742690058478,0
32803,-0.1402298850574711,15
66181,-0.1009273237006684,3
32870,-0.0117408906882591,15
66587,-0.0472195589645253,0
42922,-0.0945945945945945,19
12503,-0.1100250626566415,0
45744,-0.0482758620689656,27
46149,-0.1616038882138517,0
47133,-0.1935483870967742,18
57437,0.0935779816513762,7
47571,0.0169811320754715,0
50374,0.3114754098360657,19
16678,-0.0184453227931488,15
48291,-0.2036775106082037,12
48347,-0.0679094540612516,0
64282,0.0955114822546971,15
53612,0.0109126984126983,0
61399,0.115157247576259,2
13100,0.0144175317185697,0
51984,0.0349462365591397,18
