firms,clusters,mom1
50906,28,-0.0476190476190476
10568,23,-0.0232558139534884
10998,36,-0.0333333333333333
11181,36,-0.1397849462365591
39116,36,0.0
50032,54,-0.0563063063063062
49330,28,-0.1328828828828828
68814,8,-0.1875
47730,27,0.0113207547169811
13232,23,-0.0697674418604651
13777,51,-0.1833333333333333
44652,24,0.0088495575221239
44548,8,-0.3373493975903614
38746,8,0.148936170212766
60871,30,-0.2179487179487179
14198,28,0.0259740259740259
14331,30,-0.032258064516129
45583,54,-0.0329218106995884
14702,51,-0.043859649122807
14737,30,0.0
15537,24,-0.05
68830,36,0.1034482758620689
16935,28,-0.0285714285714285
17057,36,-0.1481481481481481
17495,30,-0.1875
17903,24,-0.0392156862745097
49373,28,-0.0555555555555555
18570,30,-0.0625
18623,54,-0.2807881773399014
18834,30,0.0909090909090908
47642,30,-0.0333333333333333
18973,54,0.0080645161290322
19271,33,-0.2909090909090909
29938,10,-0.1529051987767584
10866,30,-0.152073732718894
29970,36,-0.0491803278688525
19880,18,0.0222222222222221
20240,28,-0.0853658536585365
20248,54,-0.2639405204460966
62818,28,-0.1575342465753424
49402,28,-0.1951219512195121
20651,1,0.0
25320,27,-0.1876332622601279
40352,36,-0.196969696969697
21726,23,-0.15
21742,30,-0.1573033707865169
26841,30,-0.2264150943396226
48047,1,-0.4814814814814815
65533,46,-0.1808035714285714
24126,36,-0.40625
24572,28,-0.037037037037037
24951,36,0.0416666666666667
25049,41,0.0
25217,54,0.0
25487,30,-0.1551724137931034
69307,36,-0.2222222222222222
27124,35,-0.1304347826086956
65541,35,0.3846153846153846
27562,40,-0.1228070175438597
31026,37,0.0652173913043479
27800,54,-0.1325301204819277
27909,24,-0.0140845070422535
28207,30,-0.1212121212121212
19828,43,0.0
28311,23,-0.1111111111111111
28522,59,-0.010752688172043
59707,36,0.1111111111111111
63546,54,0.0
29023,24,-0.0673076923076922
49154,40,-0.0628683693516699
19350,5,0.0691056910569105
49429,50,-0.0845070422535211
44943,36,-0.1999999999999999
30227,1,-0.3913043478260869
43211,24,-0.0769230769230768
61313,37,-0.0337078651685393
19254,57,-0.0584958217270195
12008,54,-0.0422535211267606
31595,8,-0.0434782608695651
87581,8,-0.0333333333333333
69358,37,-0.0531914893617021
33209,36,-0.0344827586206896
50788,23,-0.0444444444444444
34287,33,-0.1481481481481481
44708,36,-0.1481481481481481
58405,28,-0.2117647058823529
46295,24,-0.0572916666666666
63589,8,0.0
26382,50,0.0510204081632652
37103,28,-0.1327433628318584
31974,28,-0.0221518987341772
62228,36,-0.0972222222222222
59010,54,-0.0900243309002433
60935,28,-0.1607142857142857
40838,30,-0.0194174757281553
19174,36,-0.0816326530612244
21055,40,-0.15
59547,30,-0.0493827160493827
47888,23,-0.2480620155038759
62367,24,0.0320512820512821
39670,8,0.1636363636363635
49189,23,-0.1739130434782608
40628,51,-0.2096774193548387
40644,54,-0.2127659574468084
39765,30,-0.0476190476190476
32600,54,-0.1363636363636363
41420,36,-0.0408163265306122
32678,8,-0.1645569620253164
23077,30,-0.1392857142857142
41663,1,0.0
27828,24,-0.0555555555555555
88701,8,-0.2058823529411765
32803,27,-0.0869565217391304
66181,40,-0.0409556313993174
32870,54,-0.0962962962962963
42366,28,-0.0215827338129496
32926,23,0.0370370370370369
66587,30,-0.0945945945945946
42922,33,-0.1756756756756756
43474,1,-0.0833333333333333
43781,27,-0.0153846153846153
44135,23,0.0
44389,54,-0.125
12503,36,0.0
45560,30,0.04
45699,40,-0.2340425531914893
46149,46,-0.0814814814814814
46237,28,-0.2037037037037037
61583,24,-0.105726872246696
48100,8,-0.2745098039215686
33267,23,-0.0909090909090909
47133,30,-0.2199999999999999
47141,28,0.0
57437,30,-0.0168539325842697
47571,30,-0.0169491525423728
53495,59,-0.0909090909090909
50374,30,0.0
48208,30,-0.4166666666666666
48291,8,-0.1428571428571429
48347,36,-0.0422535211267606
64282,27,-0.0607142857142857
24731,23,-0.3249999999999999
26294,24,-0.0097087378640776
53612,54,-0.0644257703081232
50092,28,-0.1976516634050881
61399,54,-0.0762711864406779
50519,30,-0.05
66253,36,-0.1428571428571429
64039,37,-0.0769230769230768
51960,28,-0.0535714285714286
13100,38,-0.0600522193211487
64637,24,-0.0512820512820513
60097,30,-0.0304761904761904
22891,30,-0.0862619808306709
